COUNTY,"SUM of 2016
Cases","SUM of 2017
Cases","SUM of 2018
Cases","SUM of 2019
Cases","SUM of 2020
Cases",,COUNTY,"SUM of 2016
Cases","SUM of 2017
Cases","SUM of 2018
Cases","SUM of 2019
Cases","SUM of 2020
Cases",,,,,,,,
 — Berkeley1,16 ,25 ,18 ,16 ,18 ,, — Berkeley1,16 ,25 ,18 ,16 ,18 ,,,,,,,,
 — Long Beach1,158 ,194 ,171 ,203 ,186 ,, — Long Beach1,158 ,194 ,171 ,203 ,186 ,,,Top 10 Counties with the most cases ,,,,,
 — Pasadena1,20 ,17 ,30 ,27 ,11 ,, — Pasadena1,20 ,17 ,30 ,27 ,11 ,,,County,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Cases 2020
 Alameda,155 ,207 ,215 ,213 ,207 ,, Alameda,155 ,207 ,215 ,213 ,207 ,,*, CALIFORNIA,"5,339 ","7,035 ","7,740 ","8,329 ","7,623 "
 Alpine,0 ,0 ,0 ,0 ,0 ,, Alpine,0 ,0 ,0 ,0 ,0 ,,, Los Angeles,"2,201 ","2,784 ","3,262 ","3,550 ","3,154 "
 Amador,1 ,0 ,1 ,3 ,1 ,, Amador,1 ,0 ,1 ,3 ,1 ,,, San Francisco,633 ,878 ,847 ,959 ,751 
 Butte,11 ,16 ,20 ,27 ,38 ,, Butte,11 ,16 ,20 ,27 ,38 ,,, San Diego,465 ,553 ,539 ,598 ,567 
 Calaveras,0 ,0 ,0 ,0 ,0 ,, Calaveras,0 ,0 ,0 ,0 ,0 ,,, Fresno,252 ,258 ,171 ,140 ,124 
 CALIFORNIA,"5,339 ","7,035 ","7,740 ","8,329 ","7,623 ",, CALIFORNIA,"5,339 ","7,035 ","7,740 ","8,329 ","7,623 ",,, Orange,243 ,320 ,322 ,382 ,398 
 Colusa,0 ,2 ,0 ,3 ,0 ,, Colusa,0 ,2 ,0 ,3 ,0 ,,, Riverside,230 ,287 ,352 ,392 ,525 
 Contra Costa,63 ,62 ,108 ,134 ,98 ,, Contra Costa,63 ,62 ,108 ,134 ,98 ,,, San Joaquin,164 ,305 ,339 ,234 ,143 
 Del Norte,1 ,0 ,2 ,0 ,0 ,, Del Norte,1 ,0 ,2 ,0 ,0 ,,, — Long Beach1,158 ,194 ,171 ,203 ,186 
 El Dorado,1 ,3 ,1 ,5 ,5 ,, El Dorado,1 ,3 ,1 ,5 ,5 ,,, Alameda,155 ,207 ,215 ,213 ,207 
 Fresno,252 ,258 ,171 ,140 ,124 ,, Fresno,252 ,258 ,171 ,140 ,124 ,,, San Bernardino,151 ,233 ,258 ,370 ,322 
 Glenn,0 ,1 ,2 ,0 ,2 ,, Glenn,0 ,1 ,2 ,0 ,2 ,,, Santa Clara,135 ,198 ,232 ,229 ,230 
 Humboldt,3 ,11 ,11 ,10 ,4 ,, Humboldt,3 ,11 ,11 ,10 ,4 ,,,,,,,,
 Imperial,7 ,12 ,14 ,11 ,8 ,, Imperial,7 ,12 ,14 ,11 ,8 ,,"to add corresponding rates, you can expand the range i selected from to create the table",,,,,,
 Inyo,2 ,0 ,0 ,0 ,0 ,, Inyo,2 ,0 ,0 ,0 ,0 ,,"*(you can remove california, I just kept it so you could see)",,,,,,
 Kern,121 ,185 ,201 ,150 ,131 ,, Kern,121 ,185 ,201 ,150 ,131 ,,"Also, the next cunties from California sum to 10",,,,,,
 Kings,13 ,40 ,36 ,16 ,18 ,, Kings,13 ,40 ,36 ,16 ,18 ,,,,,,,,
 Lake,3 ,3 ,4 ,1 ,12 ,, Lake,3 ,3 ,4 ,1 ,12 ,,,,,,,,
 Lassen,0 ,0 ,0 ,0 ,1 ,, Lassen,0 ,0 ,0 ,0 ,1 ,,,,,,,,
 Los Angeles,"2,201 ","2,784 ","3,262 ","3,550 ","3,154 ",, Los Angeles,"2,201 ","2,784 ","3,262 ","3,550 ","3,154 ",,,,,,,,
 Madera,7 ,11 ,13 ,7 ,5 ,, Madera,7 ,11 ,13 ,7 ,5 ,,,,,,,,
 Marin,14 ,17 ,15 ,15 ,14 ,, Marin,14 ,17 ,15 ,15 ,14 ,,,,,,,,
 Mariposa,0 ,0 ,1 ,0 ,1 ,, Mariposa,0 ,0 ,1 ,0 ,1 ,,,,,,,,
 Mendocino,0 ,2 ,7 ,0 ,5 ,, Mendocino,0 ,2 ,7 ,0 ,5 ,,,,,,,,
 Merced,5 ,18 ,21 ,21 ,10 ,, Merced,5 ,18 ,21 ,21 ,10 ,,,,,,,,
 Modoc,0 ,0 ,0 ,0 ,0 ,, Modoc,0 ,0 ,0 ,0 ,0 ,,,,,,,,
 Mono,0 ,0 ,0 ,0 ,0 ,, Mono,0 ,0 ,0 ,0 ,0 ,,,,,,,,
 Monterey,17 ,29 ,33 ,22 ,19 ,, Monterey,17 ,29 ,33 ,22 ,19 ,,,,,,,,
 Napa,6 ,4 ,12 ,13 ,8 ,, Napa,6 ,4 ,12 ,13 ,8 ,,,,,,,,
 Nevada,0 ,1 ,7 ,7 ,3 ,, Nevada,0 ,1 ,7 ,7 ,3 ,,,,,,,,
 Orange,243 ,320 ,322 ,382 ,398 ,, Orange,243 ,320 ,322 ,382 ,398 ,,,,,,,,
 Placer,9 ,12 ,12 ,9 ,8 ,, Placer,9 ,12 ,12 ,9 ,8 ,,,,,,,,
 Plumas,0 ,0 ,1 ,0 ,0 ,, Plumas,0 ,0 ,1 ,0 ,0 ,,,,,,,,
 Riverside,230 ,287 ,352 ,392 ,525 ,, Riverside,230 ,287 ,352 ,392 ,525 ,,,,,,,,
 Sacramento,112 ,167 ,216 ,254 ,232 ,, Sacramento,112 ,167 ,216 ,254 ,232 ,,,,,,,,
 San Benito,0 ,3 ,1 ,4 ,3 ,, San Benito,0 ,3 ,1 ,4 ,3 ,,,,,,,,
 San Bernardino,151 ,233 ,258 ,370 ,322 ,, San Bernardino,151 ,233 ,258 ,370 ,322 ,,,,,,,,
 San Diego,465 ,553 ,539 ,598 ,567 ,, San Diego,465 ,553 ,539 ,598 ,567 ,,,,,,,,
 San Francisco,633 ,878 ,847 ,959 ,751 ,, San Francisco,633 ,878 ,847 ,959 ,751 ,,,,,,,,
 San Joaquin,164 ,305 ,339 ,234 ,143 ,, San Joaquin,164 ,305 ,339 ,234 ,143 ,,,,,,,,
 San Luis Obispo,3 ,9 ,10 ,12 ,7 ,, San Luis Obispo,3 ,9 ,10 ,12 ,7 ,,,,,,,,
 San Mateo,53 ,62 ,73 ,96 ,109 ,, San Mateo,53 ,62 ,73 ,96 ,109 ,,,,,,,,
 Santa Barbara,27 ,41 ,39 ,47 ,47 ,, Santa Barbara,27 ,41 ,39 ,47 ,47 ,,,,,,,,
 Santa Clara,135 ,198 ,232 ,229 ,230 ,, Santa Clara,135 ,198 ,232 ,229 ,230 ,,,,,,,,
 Santa Cruz,25 ,31 ,26 ,18 ,20 ,, Santa Cruz,25 ,31 ,26 ,18 ,20 ,,,,,,,,
 Shasta,8 ,17 ,15 ,14 ,8 ,, Shasta,8 ,17 ,15 ,14 ,8 ,,,,,,,,
 Sierra,0 ,0 ,0 ,0 ,0 ,, Sierra,0 ,0 ,0 ,0 ,0 ,,,,,,,,
 Siskiyou,0 ,1 ,0 ,2 ,4 ,, Siskiyou,0 ,1 ,0 ,2 ,4 ,,,,,,,,
 Solano,21 ,35 ,53 ,38 ,54 ,, Solano,21 ,35 ,53 ,38 ,54 ,,,,,,,,
 Sonoma,38 ,56 ,56 ,76 ,53 ,, Sonoma,38 ,56 ,56 ,76 ,53 ,,,,,,,,
 Stanislaus,47 ,66 ,82 ,90 ,78 ,, Stanislaus,47 ,66 ,82 ,90 ,78 ,,,,,,,,
 Sutter,0 ,1 ,5 ,26 ,32 ,, Sutter,0 ,1 ,5 ,26 ,32 ,,,,,,,,
 Tehama,1 ,0 ,6 ,2 ,6 ,, Tehama,1 ,0 ,6 ,2 ,6 ,,,,,,,,
 Trinity,0 ,1 ,0 ,0 ,1 ,, Trinity,0 ,1 ,0 ,0 ,1 ,,,,,,,,
 Tulare,55 ,35 ,20 ,19 ,39 ,, Tulare,55 ,35 ,20 ,19 ,39 ,,,,,,,,
 Tuolumne,0 ,2 ,1 ,2 ,2 ,, Tuolumne,0 ,2 ,1 ,2 ,2 ,,,,,,,,
 Ventura,22 ,42 ,58 ,77 ,74 ,, Ventura,22 ,42 ,58 ,77 ,74 ,,,,,,,,
 Yolo,12 ,11 ,16 ,18 ,28 ,, Yolo,12 ,11 ,16 ,18 ,28 ,,,,,,,,
 Yuba,2 ,3 ,4 ,13 ,14 ,, Yuba,2 ,3 ,4 ,13 ,14 ,,,,,,,,
Grand Total,"10,872 ","14,306 ","15,699 ","16,904 ","15,461 ",,Grand Total,"10,872 ","14,306 ","15,699 ","16,904 ","15,461 ",,,,,,,,